price,house_type,acreage,width,length,bedrooms,bathrooms,floors,legal_status,street,ward,district,city
3.55,"Nhà ngõ, hẻm",25.5,3,8.5,2,2,2,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
5.88,"Nhà ngõ, hẻm",38.72,3.2,12.1,4,3,3,Đã có sổ,Duong Dang Chat, Phường 3, Quận 8, Tp Hồ Chí Minh
5.99,"Nhà ngõ, hẻm",37.4,3.4,11,3,3,3,Đã có sổ,Duong Tran Nguyen Han, Phường 13, Quận 8, Tp Hồ Chí Minh
5.05,"Nhà ngõ, hẻm",51.2,3.2,16,4,3,4,Đã có sổ,Duong Nguyen Duy, Phường 10, Quận 8, Tp Hồ Chí Minh
6.3,"Nhà ngõ, hẻm",77.13,3,25.71,6,6,3,Đã có sổ,Duong Bong Sao, Phường 5, Quận 8, Tp Hồ Chí Minh
3.5,"Nhà ngõ, hẻm",48,4,12,2,3,2,Đã có sổ,Duong Ben Me Coc, Phường 15, Quận 8, Tp Hồ Chí Minh
4.25,"Nhà ngõ, hẻm",27,3,9,3,3,3,Đã có sổ,Duong Duong Ba Trac, Phường 2, Quận 8, Tp Hồ Chí Minh
1.2,"Nhà ngõ, hẻm",21,3,7,2,2,2,Giấy tờ viết tay,Duong Truong Dinh Hoi, Phường 16, Quận 8, Tp Hồ Chí Minh
7.8,"Nhà mặt phố, mặt tiền",84,4,21,5,6,4,Đã có sổ,Duong Ta Quang Buu, Phường 5, Quận 8, Tp Hồ Chí Minh
3.68,"Nhà ngõ, hẻm",39.6,4.4,9,2,2,2,Đã có sổ,Duong Binh Dong, Phường 14, Quận 8, Tp Hồ Chí Minh
3.75,"Nhà ngõ, hẻm",63,4.5,14,3,2,2,Không có sổ,Duong Nguyen Duy, Phường 9, Quận 8, Tp Hồ Chí Minh
8.7,"Nhà ngõ, hẻm",62.04,4.7,13.2,4,3,4,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
4.3,"Nhà ngõ, hẻm",54,5.4,10,4,4,4,Đã có sổ,Duong Pham The Hien, Phường 7, Quận 8, Tp Hồ Chí Minh
1.75,"Nhà ngõ, hẻm",27,3,9,2,3,3,Sổ chung / công chứng vi bằng,Duong Phu Dinh, Phường 16, Quận 8, Tp Hồ Chí Minh
4.99,"Nhà ngõ, hẻm",50.7,3.9,13,3,3,3,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
4.55,"Nhà ngõ, hẻm",40,4,10,2,2,1,Đã có sổ,Duong Pham The Hien, Phường 6, Quận 8, Tp Hồ Chí Minh
16.9,"Nhà mặt phố, mặt tiền",64,4,16,5,5,4,Đã có sổ,Duong Ta Quang Buu, Phường 5, Quận 8, Tp Hồ Chí Minh
12.5,"Nhà ngõ, hẻm",53,5.3,10,4,4,3,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
2.28,"Nhà ngõ, hẻm",21.45,3.3,6.5,1,2,2,Đã có sổ,Duong Pham The Hien, Phường 6, Quận 8, Tp Hồ Chí Minh
3.95,"Nhà ngõ, hẻm",27,3,9,5,3,5,Đã có sổ,Duong Bong Sao, Phường 5, Quận 8, Tp Hồ Chí Minh
5.5,"Nhà ngõ, hẻm",52,3.25,16,2,2,2,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
4.5,"Nhà ngõ, hẻm",90,6,15,4,2,1,Đã có sổ,Duong Luu Huu Phuoc, Phường 15, Quận 8, Tp Hồ Chí Minh
5.65,"Nhà ngõ, hẻm",39.6,3.3,12,4,5,4,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
3.2,"Nhà ngõ, hẻm",28.05,3.3,8.5,2,2,1,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
2.55,"Nhà ngõ, hẻm",20,2,10,2,3,1,Đã có sổ,Duong Chanh Hung, Phường 4, Quận 8, Tp Hồ Chí Minh
6.85,"Nhà ngõ, hẻm",42,4,10.5,4,5,5,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
8.5,"Nhà ngõ, hẻm",64,4,16,4,5,4,Đã có sổ,Duong Pham The Hien, Phường 3, Quận 8, Tp Hồ Chí Minh
5.7,"Nhà ngõ, hẻm",42.3,4.5,9.4,4,4,4,Đã có sổ,Duong Pham The Hien, Phường 4, Quận 8, Tp Hồ Chí Minh
4.79,"Nhà ngõ, hẻm",42,3.5,12,2,2,2,Đã có sổ,Duong Pham The Hien, Phường 4, Quận 8, Tp Hồ Chí Minh
2.99,"Nhà ngõ, hẻm",35,3.5,10,2,2,2,Đã có sổ,Duong Binh Dong, Phường 14, Quận 8, Tp Hồ Chí Minh
5.65,"Nhà ngõ, hẻm",41.6,3.2,13,4,5,4,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
2.58,"Nhà ngõ, hẻm",32,4,8,2,2,2,Đã có sổ,Duong Bong Sao, Phường 5, Quận 8, Tp Hồ Chí Minh
4.68,"Nhà ngõ, hẻm",42,3.5,12,3,2,2,Đã có sổ,Duong Cao Lo, Phường 4, Quận 8, Tp Hồ Chí Minh
5.98,"Nhà ngõ, hẻm",88,4,22,5,4,4,Đã có sổ,Duong Au Duong Lan, Phường 4, Quận 8, Tp Hồ Chí Minh
6.3,"Nhà ngõ, hẻm",115.5,7.7,15,8,7,3,Đã có sổ,Duong Luu Huu Phuoc, Phường 15, Quận 8, Tp Hồ Chí Minh
6.5,"Nhà ngõ, hẻm",79.41,3.59,22.12,5,2,2,Đã có sổ,Duong Au Duong Lan, Phường 2, Quận 8, Tp Hồ Chí Minh
4.3,"Nhà ngõ, hẻm",29.68,5.3,5.6,2,2,2,Đã có sổ,Duong Pham The Hien, Phường 1, Quận 8, Tp Hồ Chí Minh
6.4,"Nhà mặt phố, mặt tiền",37.1,3.71,10,4,3,4,Đã có sổ,Duong Tung Thien Vuong, Phường 11, Quận 8, Tp Hồ Chí Minh
5.38,"Nhà ngõ, hẻm",43.4,3.1,14,4,4,4,Đã có sổ,Duong Nguyen Thi Tan, Phường 2, Quận 8, Tp Hồ Chí Minh
0.98,Nhà phố liền kề,18,3,6,2,1,2,Giấy tờ viết tay,Duong Quoc Lo 50, Phường 5, Quận 8, Tp Hồ Chí Minh
2.58,"Nhà ngõ, hẻm",18.2,2.6,7,2,2,2,Đã có sổ,Duong Bong Sao, Phường 5, Quận 8, Tp Hồ Chí Minh
5.4,"Nhà ngõ, hẻm",69.3,4.2,16.5,2,2,2,Đã có sổ,Duong Nguyen Duy, Phường 9, Quận 8, Tp Hồ Chí Minh
4.55,"Nhà mặt phố, mặt tiền",40,4,10,2,2,2,Đã có sổ,Duong Pham The Hien, Phường 6, Quận 8, Tp Hồ Chí Minh
4.5,"Nhà ngõ, hẻm",31.35,3.3,9.5,2,2,2,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
